onset	onsetTR	message	subject	run	block	trial	contrast	condition	phase	stimulus
7.016	3.003	stimOnset	025	2	1	1	0.3	random	2.618	99
7.516	3.217	stimOnset	025	2	1	2	0.3	random	0.524	171
8.016	3.432	stimOnset	025	2	1	3	0.3	random	2.094	243
8.516	3.646	stimOnset	025	2	1	4	0.3	random	1.571	207
9.016	3.860	stimOnset	025	2	1	5	0.3	random	1.047	135
9.516	4.074	pauseOnset	025	2	1	5	0.3	random	1.047	135
9.653	4.132	buttonpress_y	025	2	1	5	0.3	random	1.047	135
9.782	4.188	blockend	025	2	1	5	0.3	random	1.047	135
9.799	4.195	stimOnset	025	2	2	1	0.8	predictable	1.047	99
10.249	4.387	stimOnset	025	2	2	2	0.8	predictable	1.571	207
10.749	4.602	stimOnset	025	2	2	3	0.8	predictable	2.094	243
11.249	4.816	stimOnset	025	2	2	4	0.8	predictable	0.524	135
11.749	5.030	stimOnset	025	2	2	5	0.8	predictable	2.618	171
12.249	5.244	pauseOnset	025	2	2	5	0.8	predictable	2.618	171
12.370	5.295	buttonpress_r	025	2	2	5	0.8	predictable	2.618	171
12.499	5.351	blockend	025	2	2	5	0.8	predictable	2.618	171
12.532	5.365	stimOnset	025	2	3	1	0.8	random	2.618	207
12.966	5.550	stimOnset	025	2	3	2	0.8	random	2.094	135
13.466	5.764	stimOnset	025	2	3	3	0.8	random	1.047	99
13.966	5.978	stimOnset	025	2	3	4	0.8	random	0.524	171
14.466	6.192	stimOnset	025	2	3	5	0.8	random	1.571	243
14.965	6.406	pauseOnset	025	2	3	5	0.8	random	1.571	243
15.835	6.779	buttonpress_y	025	2	3	5	0.8	random	1.571	243
15.965	6.834	blockend	025	2	3	5	0.8	random	1.571	243
15.982	6.841	stimOnset	025	2	4	1	0.3	predictable	2.618	99
16.432	7.034	stimOnset	025	2	4	2	0.3	predictable	1.571	207
16.932	7.248	stimOnset	025	2	4	3	0.3	predictable	1.047	243
17.432	7.462	stimOnset	025	2	4	4	0.3	predictable	2.094	135
17.932	7.676	stimOnset	025	2	4	5	0.3	predictable	0.524	171
18.432	7.890	pauseOnset	025	2	4	5	0.3	predictable	0.524	171
18.851	8.070	buttonpress_r	025	2	4	5	0.3	predictable	0.524	171
18.982	8.126	blockend	025	2	4	5	0.3	predictable	0.524	171
18.998	8.133	stimOnset	025	2	5	1	0.3	random	1.571	243
