onset	onsetTR	message	subject	run	block	trial	contrast	condition	phase	stimulus
7.015	3.003	stimOnset	004	4	1	1	0.8	predictable	5.760	0
7.264	3.110	stimOnset	004	4	1	2	0.8	predictable	0.000	45
7.514	3.217	stimOnset	004	4	1	3	0.8	predictable	1.047	135
7.764	3.324	stimOnset	004	4	1	4	0.8	predictable	0.000	90
8.014	3.431	pauseOnset	004	4	1	4	0.8	predictable	0.000	90
9.014	3.859	stimOnset	004	4	1	5	0.8	predictable	4.189	0
9.264	3.966	stimOnset	004	4	1	6	0.8	predictable	5.236	45
9.514	4.073	stimOnset	004	4	1	7	0.8	predictable	1.571	135
9.764	4.180	stimOnset	004	4	1	8	0.8	predictable	2.618	90
10.014	4.287	pauseOnset	004	4	1	8	0.8	predictable	2.618	90
11.013	4.715	stimOnset	004	4	1	9	0.8	predictable	4.712	0
11.263	4.822	stimOnset	004	4	1	10	0.8	predictable	4.712	45
11.513	4.929	stimOnset	004	4	1	11	0.8	predictable	2.094	135
11.763	5.036	stimOnset	004	4	1	12	0.8	predictable	1.047	90
12.013	5.143	pauseOnset	004	4	1	12	0.8	predictable	1.047	90
13.013	5.571	stimOnset	004	4	1	13	0.8	predictable	3.665	0
13.263	5.678	stimOnset	004	4	1	14	0.8	predictable	2.094	45
13.513	5.784	stimOnset	004	4	1	15	0.8	predictable	2.618	135
13.763	5.891	stimOnset	004	4	1	16	0.8	predictable	4.189	90
14.012	5.998	pauseOnset	004	4	1	16	0.8	predictable	4.189	90
15.012	6.426	stimOnset	004	4	1	17	0.8	predictable	3.142	0
15.262	6.533	stimOnset	004	4	1	18	0.8	predictable	3.665	45
15.512	6.640	stimOnset	004	4	1	19	0.8	predictable	3.665	135
15.762	6.747	stimOnset	004	4	1	20	0.8	predictable	4.712	90
16.012	6.854	pauseOnset	004	4	1	20	0.8	predictable	4.712	90
17.012	7.282	stimOnset	004	4	1	21	0.8	predictable	5.236	0
17.261	7.389	stimOnset	004	4	1	22	0.8	predictable	0.000	45
17.511	7.496	stimOnset	004	4	1	23	0.8	predictable	2.094	135
17.761	7.603	stimOnset	004	4	1	24	0.8	predictable	4.189	90
18.011	7.710	pauseOnset	004	4	1	24	0.8	predictable	4.189	90
19.011	8.138	stimOnset	004	4	1	25	0.8	predictable	5.236	0
19.261	8.245	stimOnset	004	4	1	26	0.8	predictable	5.760	45
19.511	8.352	stimOnset	004	4	1	27	0.8	predictable	1.047	135
19.761	8.459	stimOnset	004	4	1	28	0.8	predictable	5.760	90
20.011	8.566	pauseOnset	004	4	1	28	0.8	predictable	5.760	90
21.010	8.994	catchOnset	004	4	1	29	0.8	predictable	1.571	0
21.260	9.101	stimOnset	004	4	1	30	0.8	predictable	0.524	45
21.510	9.208	stimOnset	004	4	1	31	0.8	predictable	1.571	135
21.528	9.216	buttonpress	004	4	1	31	0.8	predictable	1.571	135
21.760	9.315	stimOnset	004	4	1	32	0.8	predictable	2.618	90
22.010	9.422	pauseOnset	004	4	1	32	0.8	predictable	2.618	90
23.010	9.850	stimOnset	004	4	1	33	0.8	predictable	0.524	0
23.260	9.957	stimOnset	004	4	1	34	0.8	predictable	0.524	45
23.510	10.064	stimOnset	004	4	1	35	0.8	predictable	3.142	135
23.759	10.171	stimOnset	004	4	1	36	0.8	predictable	3.142	90
24.009	10.278	pauseOnset	004	4	1	36	0.8	predictable	3.142	90
25.009	10.706	blockend	004	4	1	36	0.8	predictable	3.142	90
32.707	14.001	stimOnset	004	4	2	1	0.3	predictable	5.760	0
32.957	14.108	stimOnset	004	4	2	2	0.3	predictable	4.189	45
33.207	14.215	stimOnset	004	4	2	3	0.3	predictable	4.712	135
33.457	14.322	stimOnset	004	4	2	4	0.3	predictable	1.571	90
33.706	14.429	pauseOnset	004	4	2	4	0.3	predictable	1.571	90
34.706	14.857	stimOnset	004	4	2	5	0.3	predictable	3.142	0
34.956	14.964	stimOnset	004	4	2	6	0.3	predictable	2.618	45
35.206	15.071	stimOnset	004	4	2	7	0.3	predictable	1.571	135
35.456	15.178	catchOnset	004	4	2	8	0.3	predictable	4.189	90
35.706	15.285	pauseOnset	004	4	2	8	0.3	predictable	4.189	90
35.921	15.377	buttonpress	004	4	2	8	0.3	predictable	4.189	90
36.706	15.713	stimOnset	004	4	2	9	0.3	predictable	4.189	0
36.955	15.820	stimOnset	004	4	2	10	0.3	predictable	2.618	45
37.205	15.927	stimOnset	004	4	2	11	0.3	predictable	3.665	135
37.455	16.034	stimOnset	004	4	2	12	0.3	predictable	5.236	90
37.705	16.141	pauseOnset	004	4	2	12	0.3	predictable	5.236	90
38.705	16.569	stimOnset	004	4	2	13	0.3	predictable	5.236	0
38.955	16.676	stimOnset	004	4	2	14	0.3	predictable	0.000	45
39.205	16.783	stimOnset	004	4	2	15	0.3	predictable	4.712	135
39.455	16.890	stimOnset	004	4	2	16	0.3	predictable	0.524	90
39.705	16.997	pauseOnset	004	4	2	16	0.3	predictable	0.524	90
