onset	onsetTR	message	subject	run	block	trial	contrast	condition	phase	stimulus
7.007	3.000	stimOnset	003	3	1	1	1.0	random	5.236	0
7.257	3.107	stimOnset	003	3	1	2	1.0	random	5.760	90
7.508	3.214	stimOnset	003	3	1	3	1.0	random	0.524	135
7.759	3.321	stimOnset	003	3	1	4	1.0	random	4.189	45
8.008	3.428	stimOnset	003	3	1	5	1.0	random	0.524	135
8.257	3.535	stimOnset	003	3	1	6	1.0	random	2.618	90
8.508	3.642	stimOnset	003	3	1	7	1.0	random	5.760	0
8.757	3.749	stimOnset	003	3	1	8	1.0	random	4.712	90
9.007	3.856	stimOnset	003	3	1	9	1.0	random	3.665	45
9.257	3.963	stimOnset	003	3	1	10	1.0	random	5.236	90
9.507	4.070	stimOnset	003	3	1	11	1.0	random	0.000	45
9.757	4.177	stimOnset	003	3	1	12	1.0	random	0.524	0
10.007	4.284	stimOnset	003	3	1	13	1.0	random	4.189	90
10.257	4.391	stimOnset	003	3	1	14	1.0	random	0.524	0
10.507	4.498	stimOnset	003	3	1	15	1.0	random	2.094	45
10.757	4.605	stimOnset	003	3	1	16	1.0	random	2.094	90
11.007	4.712	stimOnset	003	3	1	17	1.0	random	3.142	135
11.257	4.819	stimOnset	003	3	1	18	1.0	random	4.189	0
11.507	4.926	stimOnset	003	3	1	19	1.0	random	3.142	135
11.758	5.033	stimOnset	003	3	1	20	1.0	random	2.094	45
12.007	5.140	stimOnset	003	3	1	21	1.0	random	1.047	135
12.257	5.247	stimOnset	003	3	1	22	1.0	random	3.142	45
12.507	5.354	stimOnset	003	3	1	23	1.0	random	5.760	135
12.757	5.461	stimOnset	003	3	1	24	1.0	random	0.000	90
13.007	5.568	stimOnset	003	3	1	25	1.0	random	2.094	135
13.257	5.675	stimOnset	003	3	1	26	1.0	random	4.189	45
13.507	5.782	stimOnset	003	3	1	27	1.0	random	5.236	0
13.757	5.889	stimOnset	003	3	1	28	1.0	random	1.047	90
14.007	5.996	stimOnset	003	3	1	29	1.0	random	1.047	0
14.257	6.103	stimOnset	003	3	1	30	1.0	random	5.760	90
14.507	6.210	stimOnset	003	3	1	31	1.0	random	1.047	135
14.757	6.317	stimOnset	003	3	1	32	1.0	random	3.142	45
15.007	6.424	stimOnset	003	3	1	33	1.0	random	1.047	0
15.257	6.531	stimOnset	003	3	1	34	1.0	random	3.665	90
15.507	6.638	stimOnset	003	3	1	35	1.0	random	3.665	135
15.758	6.746	catchOnset	003	3	1	36	1.0	random	4.712	45
16.008	6.853	stimOnset	003	3	1	37	1.0	random	4.189	90
16.258	6.960	stimOnset	003	3	1	38	1.0	random	0.000	135
16.507	7.066	stimOnset	003	3	1	39	1.0	random	3.142	0
16.757	7.174	stimOnset	003	3	1	40	1.0	random	1.571	135
17.007	7.281	stimOnset	003	3	1	41	1.0	random	3.665	45
17.257	7.388	stimOnset	003	3	1	42	1.0	random	3.665	135
17.507	7.495	stimOnset	003	3	1	43	1.0	random	0.524	0
17.757	7.602	stimOnset	003	3	1	44	1.0	random	4.712	45
18.007	7.709	stimOnset	003	3	1	45	1.0	random	2.618	135
18.258	7.816	stimOnset	003	3	1	46	1.0	random	1.571	0
18.508	7.923	stimOnset	003	3	1	47	1.0	random	5.236	135
18.757	8.030	stimOnset	003	3	1	48	1.0	random	4.712	0
19.007	8.137	stimOnset	003	3	1	49	1.0	random	2.618	135
19.257	8.244	stimOnset	003	3	1	50	1.0	random	5.760	90
19.507	8.351	stimOnset	003	3	1	51	1.0	random	1.571	0
19.757	8.458	stimOnset	003	3	1	52	1.0	random	2.618	45
20.007	8.565	stimOnset	003	3	1	53	1.0	random	0.000	90
20.257	8.672	stimOnset	003	3	1	54	1.0	random	2.618	45
20.504	8.778	stimOnset	003	3	1	55	1.0	random	1.571	90
20.758	8.886	stimOnset	003	3	1	56	1.0	random	0.000	45
21.008	8.993	stimOnset	003	3	1	57	1.0	random	1.571	0
21.257	9.100	stimOnset	003	3	1	58	1.0	random	4.712	45
21.508	9.207	stimOnset	003	3	1	59	1.0	random	5.236	0
21.757	9.314	stimOnset	003	3	1	60	1.0	random	2.094	90
22.007	9.421	blockend	003	3	1	60	1.0	random	2.094	90
23.523	10.070	stimOnset	003	3	2	1	1.0	random	5.236	45
23.773	10.177	stimOnset	003	3	2	2	1.0	random	2.618	90
24.023	10.284	stimOnset	003	3	2	3	1.0	random	0.000	0
24.274	10.391	stimOnset	003	3	2	4	1.0	random	2.094	45
24.523	10.498	stimOnset	003	3	2	5	1.0	random	1.047	0
24.773	10.605	stimOnset	003	3	2	6	1.0	random	1.047	45
25.023	10.712	stimOnset	003	3	2	7	1.0	random	2.618	0
25.273	10.819	stimOnset	003	3	2	8	1.0	random	4.712	90
25.523	10.926	stimOnset	003	3	2	9	1.0	random	3.665	135
25.773	11.033	stimOnset	003	3	2	10	1.0	random	0.524	90
26.024	11.140	stimOnset	003	3	2	11	1.0	random	4.189	135
26.274	11.247	stimOnset	003	3	2	12	1.0	random	1.047	90
26.523	11.354	stimOnset	003	3	2	13	1.0	random	3.142	45
26.773	11.461	stimOnset	003	3	2	14	1.0	random	0.524	90
27.023	11.568	stimOnset	003	3	2	15	1.0	random	1.571	0
27.273	11.675	stimOnset	003	3	2	16	1.0	random	3.142	90
27.523	11.782	stimOnset	003	3	2	17	1.0	random	2.618	135
27.774	11.890	stimOnset	003	3	2	18	1.0	random	5.760	90
28.023	11.996	stimOnset	003	3	2	19	1.0	random	5.236	0
28.274	12.104	stimOnset	003	3	2	20	1.0	random	0.524	90
28.524	12.210	stimOnset	003	3	2	21	1.0	random	3.665	135
28.774	12.317	stimOnset	003	3	2	22	1.0	random	4.712	45
29.023	12.424	stimOnset	003	3	2	23	1.0	random	3.142	135
29.273	12.531	stimOnset	003	3	2	24	1.0	random	5.236	90
29.523	12.638	stimOnset	003	3	2	25	1.0	random	0.000	45
